"","StationID","Name","lat","long"
"87",344,"Monroe St & Bedford Ave",40.6851443,-73.95380904
"88",3297,"6 St & 7 Ave",40.6686627,-73.97988067
"89",3300,"Prospect Park West & 8 St",40.6651468153379,-73.9763760566711
"90",396,"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392
"91",3236,"W 42 St & Dyer Ave",40.7589848139963,-73.9937996864319
"92",261,"Johnson St & Gold St",40.69474881,-73.98362464
"93",328,"Watts St & Greenwich St",40.72405549,-74.00965965
"94",284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103
"95",517,"Pershing Square South",40.751581,-73.97791
"96",305,"E 58 St & 3 Ave",40.76095756,-73.96724467
"97",238,"Bank St & Washington St",40.7361967,-74.00859207
"98",293,"Lafayette St & E 8 St",40.7302066052995,-73.9910262823105
"99",3158,"W 63 St & Broadway",40.77163851,-73.98261428
"100",496,"E 16 St & 5 Ave",40.73726186,-73.99238967
"101",3223,"E 55 St & 3 Ave",40.7589965596051,-73.9686539769173
"102",497,"E 17 St & Broadway",40.73704984,-73.99009296
"103",306,"Cliff St & Fulton St",40.70823502,-74.00530063
"104",309,"Murray St & West St",40.7149787,-74.013012
"105",3086,"Graham Ave & Conselyea St",40.715143,-73.944507
"106",439,"E 4 St & 2 Ave",40.7262807,-73.98978041
"107",393,"E 5 St & Avenue C",40.72299208,-73.97995466
"108",405,"Washington St & Gansevoort St",40.739323,-74.008119
"109",470,"W 20 St & 8 Ave",40.74345335,-74.00004031
"110",3081,"Graham Ave & Grand St",40.711863,-73.944024
"111",3382,"Carroll St & Smith St",40.680611,-73.99475825
"112",525,"W 34 St & 11 Ave",40.75594159,-74.0021163
"113",247,"Perry St & Bleecker St",40.73535398,-74.00483091
"114",382,"University Pl & E 14 St",40.73492695,-73.99200509
"115",3401,"2 Ave & 9 St",40.6724811,-73.99331394
"116",490,"8 Ave & W 33 St",40.751551,-73.993934
"117",3383,"Cathedral Pkwy & Broadway",40.804213,-73.96699104
"118",217,"Old Fulton St",40.70277159,-73.99383605
"119",414,"Pearl St & Anchorage Pl",40.70281858,-73.98765762
"120",3388,"President St & Henry St",40.6828003,-73.99990419
"121",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939
"122",340,"Madison St & Clinton St",40.71269042,-73.98776323
"123",388,"W 26 St & 10 Ave",40.749717753,-74.002950346
"124",241,"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121
"125",387,"Centre St & Chambers St",40.71273266,-74.0046073
"126",307,"Canal St & Rutgers St",40.71427487,-73.98990025
"127",3142,"1 Ave & E 62 St",40.7612274,-73.96094022
"128",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956
"129",491,"E 24 St & Park Ave S",40.74096374,-73.98602213
"130",450,"W 49 St & 8 Ave",40.76227205,-73.98788205
"131",441,"E 52 St & 2 Ave",40.756014,-73.967416
"132",483,"E 12 St & 3 Ave",40.73223272,-73.98889957
"133",3125,"45 Rd & 11 St",40.74708586,-73.94977234
"134",3360,"Amsterdam Ave & W 79 St",40.7829391,-73.9786517
"135",410,"Suffolk St & Stanton St",40.72066442,-73.98517977
"136",3403,"4 Ave & 9 St",40.6705135,-73.98876585
"137",3047,"Halsey St & Tompkins Ave",40.6823687,-73.944118
"138",343,"Clinton Ave & Flushing Ave",40.69794,-73.96986848
"139",334,"W 20 St & 7 Ave",40.74238787,-73.99726235
"140",157,"Henry St & Atlantic Ave",40.69089272,-73.99612349
"141",3328,"W 100 St & Manhattan Ave",40.795,-73.9645
"142",350,"Clinton St & Grand St",40.71559509,-73.9870295
"143",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945
"144",3135,"E 75 St & 3 Ave",40.77112927,-73.95772297
"145",253,"W 13 St & 5 Ave",40.73543934,-73.99453948
"146",3224,"W 13 St & Hudson St",40.7399735410341,-74.0051387250423
"147",354,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558
"148",3356,"Amsterdam Ave & W 66 St",40.7746671,-73.98470567
"149",3368,"5 Ave & 3 St",40.6728155,-73.98352355
"150",503,"E 20 St & Park Ave",40.73827428,-73.98751968
"151",3314,"W 95 St & Broadway",40.7937704,-73.971888
"152",453,"W 22 St & 8 Ave",40.74475148,-73.99915362
"153",254,"W 11 St & 6 Ave",40.73532427,-73.99800419
"154",212,"W 16 St & The High Line",40.74334935,-74.00681753
"155",519,"Pershing Square North",40.751873,-73.977706
"156",3336,"E 97 St & Madison Ave",40.787801,-73.953559
"157",3159,"W 67 St & Broadway",40.77492513,-73.98266566
"158",3155,"Lexington Ave & E 63 St",40.76440023,-73.96648977
"159",3322,"12 St & 4 Ave",40.668603,-73.9904394
"160",494,"W 26 St & 8 Ave",40.74734825,-73.99723551
"161",353,"S Portland Ave & Hanson Pl",40.68539567,-73.97431458
"162",3073,"Division Ave & Hooper St",40.70691254,-73.95441667
"163",3176,"W 64 St & West End Ave",40.77452835,-73.98753759
"164",3362,"Madison Ave & E 82 St",40.7781314,-73.96069399
"165",3243,"E 58 St & 1 Ave",40.7589238637769,-73.9622622728348
"166",3170,"W 84 St & Columbus Ave",40.78499979,-73.97283406
"167",3295,"Central Park W & W 96 St",40.79127,-73.964839
"168",3400,"E 110 St & Madison Ave",40.7961535,-73.94782145
"169",168,"W 18 St & 6 Ave",40.73971301,-73.99456405
"170",3145,"E 84 St & Park Ave",40.77862688,-73.95772073
"171",546,"E 30 St & Park Ave S",40.74444921,-73.98303529
"172",291,"Madison St & Montgomery St",40.713126,-73.984844
"173",511,"E 14 St & Avenue B",40.72938685,-73.97772429
"174",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651
"175",401,"Allen St & Rivington St",40.72019576,-73.98997825
"176",448,"W 37 St & 10 Ave",40.75660359,-73.9979009
"177",3175,"W 70 St & Amsterdam Ave",40.77748046,-73.98288594
"178",228,"E 48 St & 3 Ave",40.7546011026,-73.971878855
"179",3112,"Milton St & Franklin St",40.72906,-73.95779
"180",536,"1 Ave & E 30 St",40.74144387,-73.97536082
"181",505,"6 Ave & W 33 St",40.74901271,-73.98848395
"182",498,"Broadway & W 32 St",40.74854862,-73.98808416
"183",320,"Leonard St & Church St",40.717571,-74.005549
"184",479,"9 Ave & W 45 St",40.76019252,-73.9912551
"185",492,"W 33 St & 7 Ave",40.75019995,-73.99093085
"186",3357,"W 106 St & Amsterdam Ave",40.8008363,-73.9664492472
"187",540,"Lexington Ave & E 29 St",40.7431155537649,-73.9821535348892
